table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E03_09_Gross_Regional_Product,Gross Regional Product (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Gross_Regional_Product_Index,Gross Regional Product Index (China Statistical Yearbook table E03_09),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Hotels_and_Catering_Services,Hotels and Catering Services (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Industry,Industry (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Others,Others (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Per_Capita_Gross_Regional_Product,Per Capita Gross Regional Product (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Per_Capita_Gross_Regional_Product_Index,Per Capita Gross Regional Product Index (China Statistical Yearbook table E03_09),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Primary_Industry_Composition,Primary Industry Composition (China Statistical Yearbook table E03_09),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Primary_Industry_Index,Primary Industry Index (China Statistical Yearbook table E03_09),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Primary_Industry_Value_Added,Primary Industry Value Added (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Real_Estate,Real Estate (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Secondary_Industry_Composition,Secondary Industry Composition (China Statistical Yearbook table E03_09),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Secondary_Industry_Index,Secondary Industry Index (China Statistical Yearbook table E03_09),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Secondary_Industry_Value_Added,Secondary Industry Value Added (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Tertiary_Industry_Composition,Tertiary Industry Composition (China Statistical Yearbook table E03_09),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Tertiary_Industry_Index,Tertiary Industry Index (China Statistical Yearbook table E03_09),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Tertiary_Industry_Value_Added,Tertiary Industry Value Added (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Transport_Storage_and_Post,Transport Storage and Post (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E03_09_Wholesale_and_Retail_Trades,Wholesale and Retail Trades (China Statistical Yearbook table E03_09),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E04_08_Agriculture_Forestry_Animal_Husbandry_and_Fishery,Agriculture Forestry Animal Husbandry and Fishery (China Statistical Yearbook table E04_08),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E04_08_Construction,Construction (China Statistical Yearbook table E04_08),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
